,Mean,SD,Naive SE,Time-series SE,2.50%,25%,50%,75%,97.50%,,,,,,,,,,,
def2PT[5],-0.0108,0.0635,0.0012,0.0046,-0.1427,-0.0500,-0.0081,0.0305,0.1119,,,,,,,,,,,
def2PT[6],0.0080,0.0671,0.0012,0.0048,-0.1155,-0.0360,0.0048,0.0490,0.1505,,,,,,,,,,,
def2PT[7],-0.0079,0.0677,0.0012,0.0050,-0.1443,-0.0513,-0.0072,0.0333,0.1228,,,,,,,,,,,
def2PT[8],-0.0062,0.0658,0.0012,0.0047,-0.1328,-0.0488,-0.0056,0.0352,0.1291,,,,,,,,,,,
def2PT[9],0.0218,0.0623,0.0011,0.0045,-0.1025,-0.0183,0.0205,0.0624,0.1438,,,,,,,,,,,
def2PT[10],0.0069,0.0631,0.0012,0.0041,-0.1156,-0.0340,0.0063,0.0467,0.1374,,,,,,,,,,,
def2PT[11],0.0004,0.0656,0.0012,0.0046,-0.1331,-0.0427,0.0019,0.0443,0.1225,,,,,,,,,,,
def2PT[12],0.0096,0.0651,0.0012,0.0054,-0.1170,-0.0341,0.0084,0.0525,0.1409,,,,,,,,,,,
def2PT[13],-0.0031,0.0623,0.0011,0.0040,-0.1220,-0.0465,-0.0049,0.0385,0.1201,,,,,,,,,,,
def2PT[14],-0.0013,0.0643,0.0012,0.0051,-0.1260,-0.0412,-0.0042,0.0373,0.1367,,,,,,,,,,,
def2PT[15],-0.0155,0.0659,0.0012,0.0045,-0.1615,-0.0553,-0.0138,0.0257,0.1147,,,,,,,,,,,
def2PT[16],-0.0199,0.0641,0.0012,0.0046,-0.1604,-0.0581,-0.0164,0.0225,0.1013,,,,,,,,,,,
def2PT[17],0.0039,0.0597,0.0011,0.0041,-0.1134,-0.0345,0.0025,0.0403,0.1270,,,,,,,,,,,
def2PT[18],-0.0066,0.0632,0.0012,0.0043,-0.1355,-0.0477,-0.0077,0.0363,0.1172,,,,,,,,,,,
def2PT[19],-0.0245,0.0653,0.0012,0.0045,-0.1597,-0.0676,-0.0218,0.0202,0.1018,,,,,,,,,,,
def2PT[20],0.0208,0.0710,0.0013,0.0059,-0.1112,-0.0225,0.0158,0.0629,0.1727,,,,,,,,,,,
def2PT[21],0.0094,0.0611,0.0011,0.0042,-0.1062,-0.0317,0.0059,0.0480,0.1354,,,,,,,,,,,
def2PT[22],-0.0038,0.0635,0.0012,0.0045,-0.1226,-0.0475,-0.0061,0.0377,0.1226,,,,,,,,,,,
def2PT[23],-0.0055,0.0639,0.0012,0.0046,-0.1268,-0.0501,-0.0050,0.0362,0.1207,,,,,,,,,,,
def2PT[24],0.0149,0.0667,0.0012,0.0051,-0.1119,-0.0280,0.0124,0.0580,0.1493,,,,,,,,,,,
def2PT[25],-0.0068,0.0688,0.0013,0.0052,-0.1536,-0.0492,-0.0056,0.0354,0.1300,,,,,,,,,,,
def2PT[26],0.0058,0.0644,0.0012,0.0048,-0.1149,-0.0371,0.0024,0.0462,0.1457,,,,,,,,,,,
def2PT[27],-0.0050,0.0684,0.0012,0.0052,-0.1539,-0.0427,-0.0047,0.0349,0.1366,,,,,,,,,,,
def2PT[28],0.0048,0.0606,0.0011,0.0042,-0.1140,-0.0363,0.0051,0.0468,0.1218,,,,,,,,,,,
def2PT[29],0.0046,0.0671,0.0012,0.0051,-0.1241,-0.0375,0.0033,0.0463,0.1457,,,,,,,,,,,
def2PT[30],0.0053,0.0680,0.0012,0.0052,-0.1245,-0.0406,0.0034,0.0528,0.1328,,,,,,,,,,,
home2PT,0.0398,0.0569,0.0010,0.0116,-0.0830,0.0047,0.0421,0.0754,0.1449,,,,,,,,,,,
c2PT,3.4278,0.0529,0.0010,0.0143,3.3352,3.3909,3.4233,3.4627,3.5326,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
att3PT[1],-0.0078,0.2196,0.0040,0.0065,-0.4549,-0.1448,-0.0015,0.1298,0.4180,,,,,,,,,,,
